nombre,poblacion,superficie,continente
Afganistán,42647492,652870,Asia
Albania,2377128,28750,Europa
Alemania,83516593,357680,Europa
Andorra,81938,470,Europa
Angola,37885849,1246700,África
Antigua y Barbuda,93772,440,América
Arabia Saudí,35300280,2149690,Asia
Argelia,46814308,2381740,África
Argentina,45696159,2780400,América
Armenia,3033500,29740,Asia
Aruba,107995,180,América
Australia,27196812,7741220,Oceanía
Austria,9177982,83879,Europa
Azerbaiyán,10202830,86600,Asia
Bahamas,401283,13880,América
Bahrein,1588670,800,Asia
Bangladesh,173562364,147570,Asia
Barbados,282467,430,América
Belice,417072,22966,América
Benín,14462724,114760,África
Bermudas,64636,4290,América
Bielorrusia,9132629,207629,Europa
Bolivia,12413315,1098580,América
Bosnia y Herzegovina,3164253,51210,Europa
Botswana,2521139,581730,África
Brasil,211998573,8510420,América
Brunei,462721,5770,Asia
Bulgaria,6441421,110996,Europa
Burkina Faso,23548781,274200,África
Burundi,14047786,27830,África
Bután,791524,38390,Asia
Bélgica,11858610,30689,Europa
Cabo Verde,524877,4030,África
Camboya,17638801,181040,Asia
Camerún,29123744,475440,África
Canadá,41288599,15634410,América
Catar,2857822,11490,Asia
Chad,20299123,1284000,África
Chequia,10905028,78871,Europa
Chile,19764771,757244,América
China,1408975000,9562910,Asia
Chipre,1358282,9250,Europa
Colombia,52886363,1140619,América
Comoras,866628,1861,África
Congo,6332961,342000,África
Congo (Rep. Dem.),109276265,2344860,África
Corea del Norte,26498823,120540,Asia
Corea del Sur,51751065,100450,Asia
Costa de Marfil,31934230,322460,África
Costa Rica,5129910,51100,América
Croacia,3866200,88070,Europa
Cuba,10979783,109880,América
Curazao,155967,444,América
Dinamarca,5976992,42920,Europa
Djibouti,1168722,23200,África
Dominica,66205,750,América
Ecuador,18135478,256370,América
Egipto,116538258,1001450,África
El Salvador,6338193,21040,América
Emiratos Árabes Unidos,10986400,98647,Asia
Eritrea,3535603,121765,África
Eslovaquia,5422069,49030,Europa
Eslovenia,2127400,20480,Europa
España,48848840,505975,Europa
Estados Unidos,340110988,9831510,América
Estonia,1372341,45340,Europa
Esuatini,1242822,17360,África
Etiopía,132059767,1136239,África
Filipinas,115843670,300000,Asia
Finlandia,5619911,338480,Europa
Fiyi,928784,18270,Oceanía
Francia,68551653,606410,Europa
Gabón,2538952,267670,África
Gambia,2759988,11300,África
Georgia,3699557,69700,Asia
Ghana,34427414,238539,África
Gibraltar,39329,10,Europa
Grecia,10405134,131960,Europa
Grenada,117207,340,América
Groenlandia,56836,410450,América
Guam,167777,540,Oceanía
Guatemala,18406359,108890,América
Guinea,14754785,245860,África
Guinea Ecuatorial,1892516,28050,África
Guinea-Bisáu,2201352,36130,África
Guyana,831087,214970,América
Haití,11772557,27750,América
Honduras,10825703,112490,América
Hong Kong,7524100,1110,Asia
Hungría,9562065,93030,Europa
India,1450935791,3287260,Asia
Indonesia,283487931,1916906,Asia
Irak,46042015,435050,Asia
Iran,91567738,1745150,Asia
Irlanda,5395790,70280,Europa
Isla de Man,84160,570,Europa
Islandia,386506,103000,Europa
Islas Caimán,74457,264,América
Islas Faroe,54681,12960,Europa
Islas Marianas del Norte,44278,460,Oceanía
Islas Marshall,37548,180,Oceanía
Islas Salomón,819198,28900,Oceanía
Islas Turks y Caicos,46535,950,América
Islas Vírgenes de los Estados Unidos,104377,350,América
Islas Vírgenes del Reino Unido,39471,150,América
Israel,9974400,22070,Asia
Italia,58952704,302070,Europa
Jamaica,2839175,10990,América
Japón,123975371,377969,Asia
Jordania,11552876,89318,Asia
Kazajistán,20592571,2724902,Asia
Kenia,56432944,591969,África
Kirguizistán,7221868,199950,Asia
Kiribati,134518,810,Oceanía
Kuwait,4897263,17820,Asia
Laos,7769819,236800,Asia
Lesotho,2337423,30360,África
Letonia,1866124,64590,Europa
Liberia,5612817,111370,África
Libia,7381023,1759540,África
Liechtenstein,40450,160,Europa
Lituania,2888278,65290,Europa
Luxemburgo,677012,2590,Europa
Líbano,5805962,10450,Asia
Macao,687000,33,Asia
Macedonia del Norte,1824359,25710,Europa
Madagascar,31964956,587295,África
Malasia,35557673,330411,Asia
Malawi,21655286,118480,África
Maldivas,527799,300,Asia
Mali,24478595,1240190,África
Malta,568847,320,Europa
Marruecos,38081173,446550,África
Mauricio,1245779,2010,África
Mauritania,5169395,1030700,África
Micronesia,113160,700,Oceanía
Moldavia,2402306,33850,Europa
Mongolia,3524788,1564115,Asia
Montenegro,623525,13888,Europa
Mozambique,34631766,799380,África
Myanmar,54500091,676590,Asia
México,130861007,1957193,América
Mónaco,38631,74,Europa
Namibia,3030131,824290,África
Nauru,11947,20,Oceanía
Nepal,29651054,147180,Asia
Nicaragua,6916140,130370,América
Nigeria,232679478,923770,África
Noruega,5572279,624500,Europa
Nueva Caledonia,292639,18580,Oceanía
Nueva Zelanda,5287500,267710,Oceanía
Níger,27032412,1267000,África
Omán,5281538,309500,Asia
Pakistán,251269164,796100,Asia
Palau,17695,460,Oceanía
Palestina,5289152,6025,Asia
Panamá,4515577,75320,América
Papúa Nueva Guinea,10576502,462840,Oceanía
Paraguay,6929153,406752,América
Países Bajos,17993485,41540,Europa
Perú,34217848,1285215,América
Polinesia Francesa,281807,3471,Oceanía
Polonia,36559233,313930,Europa
Portugal,10694681,92230,Europa
Puerto Rico,3203295,8870,América
Reino Unido,69226000,243610,Europa
República Centroafricana,5330690,622980,África
República Dominicana,11427557,146839,América
Ruanda,14256567,26338,África
Rumania,19051804,238400,Europa
Rusia,143533851,17125190,Europa
Saint Martin,26129,50,América
Samoa,218019,2840,Oceanía
Samoa Americana,46765,200,Oceanía
San Cristóbal y Nieves,46843,260,América
San Marino,33977,60,Europa
San Vicente y Granadinas,100616,390,América
Santa Lucía,179744,620,América
Santo Tomé y Príncipe,235536,960,África
Senegal,18501984,196710,África
Serbia,6586476,84990,Europa
Seychelles,121354,460,África
Sierra Leone,8642022,72300,África
Singapur,6036860,728,Asia
Sint Maarten,43350,34,América
Siria,24672760,185180,Asia
Somalia,19009151,637660,África
Sri Lanka,21916000,65610,Asia
Sudáfrica,64007187,1219090,África
Sudán,50448963,1878000,África
Sudán del Sur,11943408,646883,África
Suecia,10569709,528660,Europa
Suiza,9005582,41290,Europa
Surinam,634431,163820,América
Tailandia,71668011,513115,Asia
Tanzania,68560157,947300,África
Tayikistán,10590927,141379,Asia
Timor Oriental,1400638,14870,Asia
Togo,9515236,56790,África
Tonga,104175,750,Oceanía
Trinidad y Tobago,1368333,5130,América
Turkmenistán,7494498,491209,Asia
Turquía,85518661,785350,Asia
Tuvalu,9646,30,Oceanía
Túnez,12277109,163610,África
Ucrania,37860221,603550,Europa
Uganda,50015092,241550,África
Uruguay,3386588,176220,América
Uzbekistán,36361859,448920,Asia
Vanuatu,327777,12190,Oceanía
Venezuela,28405543,912050,América
Vietnam,100987686,331338,Asia
Yemen,40583164,527970,Asia
Zambia,21314956,752610,África
Zimbabue,16634373,390760,África
